Scrollable Height,	 UIM/VIM Name,		 Type,	 UIM References,	 Dupliacte,	 Number of Scrollable Lists,	 Expandable List Ref,	 CADG Page,	
50,	 SelectionQuery_addCriteria.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/SelectionQuery_addCriteria.html,	
50,	 SelectionQuery_modifyQueryCriteria.uim,		 NonModal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/SelectionQuery_modifyQueryCriteria.html,	
60,	 AddProspectPerson_duplicateCheckForPDCWizardView.vim,		 Modal,	 AddProspectPerson_duplicateCheckForPDCWizard.uim,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/AddProspectPerson_duplicateCheckForPDCWizard.html,	
60,	 CaseAuditConfiguration_createCaseAuditConfiguration.uim,		 NonModal,	 N/A,	 No,	3,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/CaseAuditConfiguration_createCaseAuditConfiguration.html,	
60,	 Financial_manualPaymentSearchPersonWizard.uim,		 Modal,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/Financial_manualPaymentSearchPersonWizard.html,	
60,	 RegisterPerson_duplicateCheckWizardView.vim,		 Modal,	 RegisterPerson_duplicateCheckWizard.uim,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/RegisterPerson_duplicateCheckWizard.html,	
60,	 AddProspectPerson_duplicateCheckWizardView.vim,		 Modal,	 AddProspectPerson_duplicateCheckWizard.uim,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/AddProspectPerson_duplicateCheckWizard.html,	
60,	 CaseAuditConfiguration_modifyCaseAuditConfigurationView.vim,		 Modal,	 CaseAuditConfiguration_modifyCaseAuditConfiguration.uim,	 No,	3,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/CaseAuditConfiguration_modifyCaseAuditConfiguration.html,	
65,	 Activity_viewSelectedUserRecurringActivity.uim,		 N/A,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/Activity_viewSelectedUserRecurringActivity.html,	
65,	 Activity_viewStandardUserActivityViewOnly.uim,		 N/A,	 N/A,	 No,	1,	false,	http://opsrhl0155.mulvm.ie.ibm.com:9080/curamanalysisdocumentation/pages/Activity_viewStandardUserActivityViewOnly.html,	
